fc,ds,dimension,promise,arrival,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units_from_shipment_data,cumulative_route_assignment
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.1,not_defined,0,"('r47', 'r92', 'r395', 'r4074', 'r5274')",2.0,"[('r47', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.1,not_defined,0,"('r92', 'r395', 'r5274')",9.0,"[('r92', 9)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.0,not_defined,0,"('r47', 'r92', 'r396', 'r4075', 'r5275')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.0,not_defined,0,"('r92', 'r396', 'r5275')",2.0,"[('r92', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.08,not_defined,0,"('r47', 'r92', 'r397', 'r4076', 'r5276')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.08,not_defined,0,"('r92', 'r397', 'r5276')",3.0,"[('r92', 3)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.08,not_defined,0,"('r47', 'r92', 'r398', 'r4077', 'r5277')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.08,not_defined,0,"('r92', 'r398', 'r5277')",5.0,"[('r92', 5)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.06,not_defined,0,"('r47', 'r92', 'r399', 'r4078', 'r5278')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.06,not_defined,0,"('r92', 'r399', 'r5278')",4.0,"[('r92', 4)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.05,not_defined,0,"('r47', 'r92', 'r400', 'r4079', 'r5279')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.05,not_defined,0,"('r92', 'r400', 'r5279')",3.0,"[('r92', 3)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.05,not_defined,0,"('r47', 'r92', 'r401', 'r4080', 'r5280')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.05,not_defined,0,"('r92', 'r401', 'r5280')",5.0,"[('r92', 5)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.06,not_defined,0,"('r47', 'r92', 'r402', 'r4081', 'r5281')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.06,not_defined,0,"('r92', 'r402', 'r5281')",4.0,"[('r92', 4)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.07,not_defined,0,"('r47', 'r92', 'r403', 'r4082', 'r5282')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.07,not_defined,0,"('r92', 'r403', 'r5282')",5.0,"[('r92', 5)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.07,not_defined,0,"('r47', 'r92', 'r404', 'r4083', 'r5283')",2.0,"[('r47', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.07,not_defined,0,"('r92', 'r404', 'r5283')",6.0,"[('r92', 6)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.09,not_defined,0,"('r47', 'r92', 'r405', 'r4084', 'r5284')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.09,not_defined,0,"('r92', 'r405', 'r5284')",3.0,"[('r92', 3)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.02,not_defined,0,"('r47', 'r92', 'r406', 'r4085', 'r5285')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.02,not_defined,0,"('r92', 'r406', 'r5285')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.02,not_defined,0,"('r47', 'r92', 'r407', 'r4086', 'r5286')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.02,not_defined,0,"('r92', 'r407', 'r5286')",4.0,"[('r92', 4)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.03,not_defined,0,"('r47', 'r92', 'r408', 'r4087', 'r5287')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.03,not_defined,0,"('r92', 'r408', 'r5287')",3.0,"[('r92', 3)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.04,not_defined,0,"('r47', 'r92', 'r409', 'r4088', 'r5288')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.04,not_defined,0,"('r92', 'r409', 'r5288')",2.0,"[('r92', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.05,not_defined,0,"('r47', 'r92', 'r410', 'r4089', 'r5289')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.05,not_defined,0,"('r92', 'r410', 'r5289')",3.0,"[('r92', 3)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.04,not_defined,0,"('r47', 'r92', 'r411', 'r4090', 'r5290')",2.0,"[('r47', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.04,not_defined,0,"('r92', 'r411', 'r5290')",6.0,"[('r92', 6)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.03,not_defined,0,"('r47', 'r92', 'r412', 'r4091', 'r5291')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.03,not_defined,0,"('r92', 'r412', 'r5291')",2.0,"[('r92', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.02,not_defined,0,"('r47', 'r92', 'r413', 'r4092', 'r5292')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.02,not_defined,0,"('r92', 'r413', 'r5292')",3.0,"[('r92', 3)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.27,not_defined,0,"('r47', 'r92', 'r414', 'r4093', 'r5293')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.27,not_defined,0,"('r92', 'r414', 'r5293')",0.0,
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,2.97,not_defined,0,"('r2', 'r15', 'r46', 'r91', 'r446', 'r6074', 'r6389')",4.0,"[('r2', 1), ('r46', 3)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,2.97,not_defined,0,"('r2', 'r15', 'r91', 'r446', 'r6389')",5.0,"[('r15', 3), ('r91', 2)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 12:00:00,2.97,not_defined,0,"('r15', 'r91', 'r446', 'r6389')",8.0,"[('r446', 5), ('r91', 3)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,2.98,not_defined,0,"('r2', 'r15', 'r46', 'r91', 'r447', 'r6075', 'r6390')",4.0,"[('r2', 1), ('r46', 3)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,2.98,not_defined,0,"('r2', 'r15', 'r91', 'r447', 'r6390')",5.0,"[('r15', 3), ('r91', 2)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 12:00:00,2.98,not_defined,0,"('r15', 'r91', 'r447', 'r6390')",9.0,"[('r91', 9)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,2.94,not_defined,0,"('r2', 'r15', 'r46', 'r91', 'r448', 'r6076', 'r6391')",2.0,"[('r2', 1), ('r46', 1)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,2.94,not_defined,0,"('r2', 'r15', 'r91', 'r448', 'r6391')",4.0,"[('r15', 2), ('r91', 2)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 12:00:00,2.94,not_defined,0,"('r15', 'r91', 'r448', 'r6391')",6.0,"[('r448', 3), ('r91', 3)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,2.94,not_defined,0,"('r2', 'r15', 'r46', 'r91', 'r449', 'r6077', 'r6392')",4.0,"[('r46', 4)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,2.94,not_defined,0,"('r2', 'r15', 'r91', 'r449', 'r6392')",6.0,"[('r15', 3), ('r91', 3)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 12:00:00,2.94,not_defined,0,"('r15', 'r91', 'r449', 'r6392')",10.0,"[('r449', 4), ('r91', 6)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,2.98,not_defined,0,"('r2', 'r15', 'r46', 'r91', 'r450', 'r6078', 'r6393')",3.0,"[('r2', 2), ('r46', 1)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,2.98,not_defined,0,"('r2', 'r15', 'r91', 'r450', 'r6393')",5.0,"[('r15', 3), ('r91', 2)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 12:00:00,2.98,not_defined,0,"('r15', 'r91', 'r450', 'r6393')",8.0,"[('r91', 8)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,2.97,not_defined,0,"('r2', 'r15', 'r46', 'r91', 'r452', 'r6080', 'r6395')",2.0,"[('r46', 2)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,2.97,not_defined,0,"('r2', 'r15', 'r91', 'r452', 'r6395')",4.0,"[('r15', 1), ('r91', 3)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 12:00:00,2.97,not_defined,0,"('r15', 'r91', 'r452', 'r6395')",6.0,"[('r452', 1), ('r91', 5)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,2.93,not_defined,0,"('r2', 'r15', 'r46', 'r91', 'r453', 'r6081', 'r6396')",4.0,"[('r2', 1), ('r46', 3)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,2.93,not_defined,0,"('r2', 'r15', 'r91', 'r453', 'r6396')",6.0,"[('r15', 4), ('r453', 2)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 12:00:00,2.93,not_defined,0,"('r15', 'r91', 'r453', 'r6396')",10.0,"[('r453', 5), ('r91', 5)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,2.97,not_defined,0,"('r2', 'r15', 'r46', 'r91', 'r454', 'r6082', 'r6397')",3.0,"[('r46', 3)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,2.97,not_defined,0,"('r2', 'r15', 'r91', 'r454', 'r6397')",5.0,"[('r15', 3), ('r91', 2)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 12:00:00,2.97,not_defined,0,"('r15', 'r91', 'r454', 'r6397')",8.0,"[('r454', 4), ('r91', 4)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,2.96,not_defined,0,"('r2', 'r15', 'r46', 'r91', 'r455', 'r6083', 'r6398')",4.0,"[('r46', 4)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,2.96,not_defined,0,"('r2', 'r15', 'r91', 'r455', 'r6398')",6.0,"[('r15', 3), ('r91', 3)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 12:00:00,2.96,not_defined,0,"('r15', 'r91', 'r455', 'r6398')",10.0,"[('r455', 2), ('r91', 8)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,2.94,not_defined,0,"('r2', 'r15', 'r46', 'r91', 'r456', 'r6084', 'r6399')",2.0,"[('r46', 2)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,2.94,not_defined,0,"('r2', 'r15', 'r91', 'r456', 'r6399')",2.0,"[('r15', 1), ('r91', 1)]"
BFL1,DPS3,dim1,2021-05-12 23:59:59,2021-05-11 12:00:00,2.94,not_defined,0,"('r15', 'r91', 'r456', 'r6399')",4.0,"[('r91', 4)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.0,not_defined,0,"('r47', 'r92', 'r415', 'r4094', 'r5294')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.0,not_defined,0,"('r92', 'r415', 'r5294')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.0,not_defined,0,"('r47', 'r92', 'r416', 'r4095', 'r5295')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.0,not_defined,0,"('r92', 'r416', 'r5295')",1.0,"[('r92', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.01,not_defined,0,"('r47', 'r92', 'r417', 'r4096', 'r5296')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.01,not_defined,0,"('r92', 'r417', 'r5296')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.01,not_defined,0,"('r47', 'r92', 'r418', 'r4097', 'r5297')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.01,not_defined,0,"('r92', 'r418', 'r5297')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.01,not_defined,0,"('r47', 'r92', 'r419', 'r4098', 'r5298')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.01,not_defined,0,"('r92', 'r419', 'r5298')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.0,not_defined,0,"('r47', 'r92', 'r420', 'r4099', 'r5299')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.0,not_defined,0,"('r92', 'r420', 'r5299')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.01,not_defined,0,"('r47', 'r92', 'r421', 'r4100', 'r5300')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.01,not_defined,0,"('r92', 'r421', 'r5300')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.14,not_defined,0,"('r47', 'r92', 'r426', 'r4105', 'r5305')",2.0,"[('r47', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.14,not_defined,0,"('r92', 'r426', 'r5305')",10.0,"[('r92', 10)]"
