fc,ds,zipcode,dimension,promise,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units,arrival,amzl_optimal_flow,ddu_optimal_flow,3p_optimal_flow,optimal_flows_on_each_route
SMF1,DSD1,92117,dim1,2021-05-12 23:59:59,6.72,not_defined,0,['r31' 'r100' 'r2331' 'r6693' 'r7383'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2331': 0.0, 'r6693': 0.0, 'r7383': 0.0}"
SMF1,DSD1,92117,dim1,2021-05-12 23:59:59,6.72,not_defined,0,['r100' 'r2331' 'r7383'],4.421068791578332,2021-05-11 05:00:00,4.421068785970284,9.21649682681183e-10,4.6863436368276195e-09,"{'r100': 4.421068785970284, 'r2331': 4.6863436368276195e-09, 'r7383': 9.21649682681183e-10}"
SMF1,DSD1,92120,dim1,2021-05-12 23:59:59,6.77,not_defined,0,['r31' 'r100' 'r2332' 'r6694' 'r7384'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2332': 0.0, 'r6694': 0.0, 'r7384': 0.0}"
SMF1,DSD1,92120,dim1,2021-05-12 23:59:59,6.77,not_defined,0,['r100' 'r2332' 'r7384'],0.6315812559397617,2021-05-11 05:00:00,0.6315812509405953,8.965614690663788e-10,4.102605948640654e-09,"{'r100': 0.6315812509405953, 'r2332': 4.102605948640654e-09, 'r7384': 8.965614690663788e-10}"
SMF1,DSD1,92121,dim1,2021-05-12 23:59:59,6.67,not_defined,0,['r31' 'r100' 'r2333' 'r6695' 'r7385'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2333': 0.0, 'r6695': 0.0, 'r7385': 0.0}"
SMF1,DSD1,92121,dim1,2021-05-12 23:59:59,6.67,not_defined,0,['r100' 'r2333' 'r7385'],1.2631625118795233,2021-05-11 05:00:00,1.2631625054675784,9.481825912556305e-10,5.463758052518489e-09,"{'r100': 1.2631625054675784, 'r2333': 5.463758052518489e-09, 'r7385': 9.481825912556305e-10}"
SMF1,DSD1,92122,dim1,2021-05-12 23:59:59,6.7,not_defined,0,['r31' 'r100' 'r2334' 'r6696' 'r7386'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2334': 0.0, 'r6696': 0.0, 'r7386': 0.0}"
SMF1,DSD1,92122,dim1,2021-05-12 23:59:59,6.7,not_defined,0,['r100' 'r2334' 'r7386'],4.421068791578332,2021-05-11 05:00:00,4.421068785677085,9.32082613704177e-10,4.969159052548525e-09,"{'r100': 4.421068785677085, 'r2334': 4.969159052548525e-09, 'r7386': 9.32082613704177e-10}"
SMF1,DSD1,92123,dim1,2021-05-12 23:59:59,6.75,not_defined,0,['r31' 'r100' 'r2335' 'r6697' 'r7387'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2335': 0.0, 'r6697': 0.0, 'r7387': 0.0}"
SMF1,DSD1,92123,dim1,2021-05-12 23:59:59,6.75,not_defined,0,['r100' 'r2335' 'r7387'],3.157906279698808,2021-05-11 05:00:00,3.1579062744746142,9.064309784919641e-10,4.317733697404693e-09,"{'r100': 3.1579062744746142, 'r2335': 4.317733697404693e-09, 'r7387': 9.064309784919641e-10}"
SMF1,DSD1,92124,dim1,2021-05-12 23:59:59,6.75,not_defined,0,['r31' 'r100' 'r2336' 'r6698' 'r7388'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2336': 0.0, 'r6698': 0.0, 'r7388': 0.0}"
SMF1,DSD1,92124,dim1,2021-05-12 23:59:59,6.75,not_defined,0,['r100' 'r2336' 'r7388'],1.894743767819285,2021-05-11 05:00:00,1.8947437625951173,9.064309987684572e-10,4.317734155698434e-09,"{'r100': 1.8947437625951173, 'r2336': 4.317734155698434e-09, 'r7388': 9.064309987684572e-10}"
