origin,destination,type,cpt,hard_or_soft,incremental_cost,index,cap,target,sigma,penalty_cost_coefficient,dual,excess_flow,optimal_flow,remaining_cap
LGB3,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,2.48,j70,1348,1078.4,134.8,0.003670326409495549,2.1596499783781842e-13,0.005703025831450045,951.4904976415972,1348
TUS2,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,6.29,j100,418,334.4,41.800000000000004,0.030020454545454545,3.8999999999393453,129.9114240270572,464.3114240270469,418
SMF1,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,5.93,j99,304,243.2,30.400000000000002,0.038915625,3.4599999999885727,88.91030273800975,332.1103027380019,304
PHX6,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,5.29,j44,48,38.4,4.800000000000001,0.21986562499999998,2.909999798958307,13.235355908683877,51.635355908554196,48
LGB5,LGB5,sc_resource,2021-05-11 10:00:00,soft,1.0,j22,920,736.0,92.0,0.0021684782608695653,0.19999979673847076,92.23048270657465,828.2304827002688,920
LAX5,LAX5,sc_resource,2021-05-11 10:00:00,soft,1.0,j51,920,736.0,92.0,0.0021684782608695653,3.6655064167528527e-13,0.007414899466279275,661.6270975290847,920
LAX5,LAX5,sc_resource,2021-05-12 10:00:00,soft,1.0,j104,3679,2943.2,367.90000000000003,0.0005422669203587931,9.085539555339292e-14,0.014817577240664553,2653.602750962135,3679
LGB5,LGB5,sc_resource,2021-05-12 10:00:00,soft,1.0,j75,3679,2943.2,367.90000000000003,0.0005422669203587931,0.1999999975666223,368.8220506505552,3312.0220506621317,3679
LAX5,DLA5,scds_resource,2021-05-12 15:00:00,soft,1.0,j101,741,592.8,74.10000000000001,0.002692307692307692,1.0200000000867762,378.8571428893991,971.6571428906402,741
LAX5,DSD1,scds_resource,2021-05-12 15:00:00,soft,1.0,j102,1345,1076.0,134.5,0.001483271375464684,1.2677079201040537e-13,0.008968384861095002,881.3661087079938,1345
LAX5,DSD2,scds_resource,2021-05-12 15:00:00,soft,1.0,j103,369,295.2,36.9,0.005406504065040651,2.117876587140324e-12,0.004694466204798741,284.7799875301433,369
LGB5,DLA5,scds_resource,2021-05-11 15:00:00,soft,1.0,j18,185,148.0,18.5,0.010783783783783784,1.0200002008835203,94.58648479373558,242.58648479423496,185
LGB5,DPS3,scds_resource,2021-05-12 15:00:00,soft,1.0,j73,570,456.0,57.0,0.0035,0.05731182204584272,16.374806299216367,472.374806299429,570
LGB5,DPS1,scds_resource,2021-05-12 15:00:00,soft,1.0,j72,2672,2137.6,267.2,0.0007466317365269462,0.03836031934744749,51.37783122684996,2188.9778312159597,2672
LAX5,DSD1,scds_resource,2021-05-11 15:00:00,soft,1.0,j49,336,268.8,33.6,0.0059375,0.0,0.0,220.61693554504873,336
LAX5,DSD2,scds_resource,2021-05-11 15:00:00,soft,1.0,j50,92,73.6,9.200000000000001,0.02168478260869565,0.0,0.0,66.99718706855683,92
LGB5,DPS1,scds_resource,2021-05-11 15:00:00,soft,1.0,j19,668,534.4,66.8,0.0029865269461077848,0.03836052010171293,12.844525027568464,547.2445250262239,668
LGB5,DPS3,scds_resource,2021-05-11 15:00:00,soft,1.0,j20,142,113.6,14.200000000000001,0.014049295774647887,0.05731202283835805,4.0793520021238505,117.67935200146509,142
